sku,week,units
15036,2010-11-29,75
15036,2010-12-06,21
15036,2010-12-13,35
15036,2010-12-20,30
15036,2010-12-27,0
15036,2011-01-03,18
15036,2011-01-10,159
15036,2011-01-17,39
15036,2011-01-24,112
15036,2011-01-31,1913
15036,2011-02-07,68
15036,2011-02-14,762
15036,2011-02-21,128
15036,2011-02-28,91
15036,2011-03-07,369
15036,2011-03-14,1342
15036,2011-03-21,99
15036,2011-03-28,1253
15036,2011-04-04,147
15036,2011-04-11,864
15036,2011-04-18,174
15036,2011-04-25,793
15036,2011-05-02,972
15036,2011-05-09,1618
15036,2011-05-16,1643
15036,2011-05-23,397
15036,2011-05-30,193
15036,2011-06-06,1610
15036,2011-06-13,1285
15036,2011-06-20,169
15036,2011-06-27,167
15036,2011-07-04,1938
15036,2011-07-11,352
15036,2011-07-18,510
15036,2011-07-25,638
15036,2011-08-01,943
15036,2011-08-08,268
15036,2011-08-15,60
15036,2011-08-22,60
15036,2011-08-29,181
15036,2011-09-05,215
15036,2011-09-12,64
15036,2011-09-19,93
15036,2011-09-26,30
15036,2011-10-03,721
15036,2011-10-10,224
15036,2011-10-17,194
15036,2011-10-24,101
15036,2011-10-31,83
15036,2011-11-07,107
15036,2011-11-14,104
15036,2011-11-21,237
15036,2011-11-28,143
15036,2011-12-05,14
17003,2010-11-29,798
17003,2010-12-06,263
17003,2010-12-13,90
17003,2010-12-20,0
17003,2010-12-27,0
17003,2011-01-03,864
17003,2011-01-10,8
17003,2011-01-17,831
17003,2011-01-24,1440
17003,2011-01-31,146
17003,2011-02-07,0
17003,2011-02-14,290
17003,2011-02-21,0
17003,2011-02-28,144
17003,2011-03-07,252
17003,2011-03-14,2196
17003,2011-03-21,48
17003,2011-03-28,769
17003,2011-04-04,146
17003,2011-04-11,73
17003,2011-04-18,11
17003,2011-04-25,267
17003,2011-05-02,78
17003,2011-05-09,510
17003,2011-05-16,792
17003,2011-05-23,793
17003,2011-05-30,360
17003,2011-06-06,913
17003,2011-06-13,837
17003,2011-06-20,864
17003,2011-06-27,88
17003,2011-07-04,318
17003,2011-07-11,1012
17003,2011-07-18,289
17003,2011-07-25,149
17003,2011-08-01,146
17003,2011-08-08,144
17003,2011-08-15,78
17003,2011-08-22,940
17003,2011-08-29,291
17003,2011-09-05,180
17003,2011-09-12,109
17003,2011-09-19,857
17003,2011-09-26,931
17003,2011-10-03,376
17003,2011-10-10,72
17003,2011-10-17,204
17003,2011-10-24,1684
17003,2011-10-31,100
17003,2011-11-07,109
17003,2011-11-14,315
17003,2011-11-21,474
17003,2011-11-28,130
17003,2011-12-05,277
20725,2010-11-29,218
20725,2010-12-06,283
20725,2010-12-13,187
20725,2010-12-20,44
20725,2010-12-27,0
20725,2011-01-03,462
20725,2011-01-10,642
20725,2011-01-17,128
20725,2011-01-24,171
20725,2011-01-31,417
20725,2011-02-07,255
20725,2011-02-14,291
20725,2011-02-21,369
20725,2011-02-28,175
20725,2011-03-07,148
20725,2011-03-14,278
20725,2011-03-21,379
20725,2011-03-28,587
20725,2011-04-04,247
20725,2011-04-11,305
20725,2011-04-18,368
20725,2011-04-25,164
20725,2011-05-02,289
20725,2011-05-09,885
20725,2011-05-16,445
20725,2011-05-23,684
20725,2011-05-30,184
20725,2011-06-06,585
20725,2011-06-13,448
20725,2011-06-20,238
20725,2011-06-27,303
20725,2011-07-04,440
20725,2011-07-11,231
20725,2011-07-18,596
20725,2011-07-25,385
20725,2011-08-01,603
20725,2011-08-08,725
20725,2011-08-15,433
20725,2011-08-22,341
20725,2011-08-29,202
20725,2011-09-05,524
20725,2011-09-12,329
20725,2011-09-19,492
20725,2011-09-26,318
20725,2011-10-03,322
20725,2011-10-10,443
20725,2011-10-17,276
20725,2011-10-24,314
20725,2011-10-31,323
20725,2011-11-07,556
20725,2011-11-14,650
20725,2011-11-21,276
20725,2011-11-28,331
20725,2011-12-05,264
21212,2010-11-29,975
21212,2010-12-06,1104
21212,2010-12-13,664
21212,2010-12-20,1363
21212,2010-12-27,0
21212,2011-01-03,324
21212,2011-01-10,619
21212,2011-01-17,1753
21212,2011-01-24,557
21212,2011-01-31,558
21212,2011-02-07,347
21212,2011-02-14,526
21212,2011-02-21,718
21212,2011-02-28,689
21212,2011-03-07,814
21212,2011-03-14,1303
21212,2011-03-21,527
21212,2011-03-28,785
21212,2011-04-04,669
21212,2011-04-11,600
21212,2011-04-18,1421
21212,2011-04-25,315
21212,2011-05-02,788
21212,2011-05-09,1647
21212,2011-05-16,599
21212,2011-05-23,360
21212,2011-05-30,229
21212,2011-06-06,619
21212,2011-06-13,856
21212,2011-06-20,181
21212,2011-06-27,123
21212,2011-07-04,1112
21212,2011-07-11,253
21212,2011-07-18,335
21212,2011-07-25,1083
21212,2011-08-01,445
21212,2011-08-08,335
21212,2011-08-15,1650
21212,2011-08-22,508
21212,2011-08-29,459
21212,2011-09-05,712
21212,2011-09-12,955
21212,2011-09-19,1028
21212,2011-09-26,359
21212,2011-10-03,477
21212,2011-10-10,499
21212,2011-10-17,507
21212,2011-10-24,521
21212,2011-10-31,1042
21212,2011-11-07,362
21212,2011-11-14,590
21212,2011-11-21,342
21212,2011-11-28,546
21212,2011-12-05,266
21915,2010-11-29,1660
21915,2010-12-06,243
21915,2010-12-13,314
21915,2010-12-20,13
21915,2010-12-27,0
